gene,n_subs,n_tested,match_at_0,best_offset,best_match,second_match,cds_start,cds_len,orf_ok,mane_c_equals_idbases_c_plus,classification
CFH,49,46,0.848,0,0.848,0.51,75,3696,True,0,near_aligned
CFI,10,10,1.0,0,1.0,0.833,28,1752,True,0,aligned
CFP,10,10,0.5,-242,1.0,0.833,86,1410,True,-242,isoform_or_mismatch
CIITA,4,4,0.0,265,1.0,1.0,129,3393,True,265,inconclusive_low_n
CTSC,44,44,0.977,0,0.977,0.577,64,1392,True,0,aligned
CXCR4,4,4,1.0,0,1.0,1.0,89,1059,True,0,aligned
CYBA,23,23,1.0,0,1.0,0.684,40,588,True,0,aligned
CYBB,211,211,0.995,0,0.995,0.371,19,1713,True,0,aligned
DCLRE1C,7,7,1.0,0,1.0,1.0,86,2079,True,0,aligned
DKC1,5,5,1.0,0,1.0,1.0,102,1545,True,0,aligned
DNMT3B,4,4,1.0,11,1.0,1.0,321,2562,True,11,aligned
ELA2,42,42,1.0,0,1.0,0.556,26,804,True,0,aligned
FASLG,1,,,,,,,,,,inconclusive_low_n
FCGR1A,1,,,,,,,,,,inconclusive_low_n
FCGR3A,1,,,,,,,,,,inconclusive_low_n
FERMT3,4,4,1.0,192,1.0,1.0,108,1992,True,192,aligned
FOXN1,1,,,,,,,,,,inconclusive_low_n
FOXP3,19,19,1.0,0,1.0,0.643,72,1296,True,0,aligned
G6PC3,9,9,1.0,0,1.0,0.8,231,1041,True,0,aligned
GFI1,3,3,1.0,0,1.0,1.0,299,1269,True,0,aligned
HAX1,7,7,1.0,0,1.0,1.0,95,840,True,0,aligned
IFNGR1,9,9,1.0,0,1.0,0.75,58,1470,True,0,aligned
IFNGR2,2,,,,,,,,,,inconclusive_low_n
IGHM,3,,,,,,,,,,no_mane_fasta
IGLL1,1,,,,,,,,,,inconclusive_low_n
IKBKG,28,22,0.818,0,0.818,0.625,141,1260,True,0,near_aligned
IL12RB1,11,11,1.0,0,1.0,0.833,111,1989,True,0,aligned
IL7R,4,4,0.25,652,1.0,1.0,87,1380,True,652,inconclusive_low_n
IRAK4,2,,,,,,,,,,inconclusive_low_n
ITGB2,34,34,1.0,0,1.0,0.632,82,2310,True,0,aligned
JAK3,16,16,1.0,0,1.0,0.769,50,3375,True,0,aligned
LIG1,1,,,,,,,,,,inconclusive_low_n
LIG4,2,,,,,,,,,,inconclusive_low_n
LYST,12,12,0.25,-189,0.917,0.636,161,11406,True,-189,isoform_or_mismatch
MAPBPIP,1,,,,,,,,,,inconclusive_low_n
MASP2,1,,,,,,,,,,inconclusive_low_n
MLPH,1,,,,,,,,,,inconclusive_low_n
MPO,9,9,1.0,0,1.0,0.875,177,2238,True,0,aligned
MRE11A,3,3,1.0,208,1.0,1.0,159,2127,True,208,aligned
MYO5A,2,,,,,,,,,,inconclusive_low_n
NCF1,6,6,0.167,163,1.0,1.0,21,1173,True,163,inconclusive_low_n
NCF2,25,25,1.0,0,1.0,0.615,130,1581,True,0,aligned
NFKBIA,1,,,,,,,,,,inconclusive_low_n
NHEJ1,4,4,1.0,265,1.0,1.0,96,900,True,265,aligned
NP,11,11,1.0,0,1.0,0.875,119,870,True,0,aligned
NRAS,1,,,,,,,,,,inconclusive_low_n
ORAI1,2,,,,,,,,,,inconclusive_low_n
PIK3R1,1,,,,,,,,,,inconclusive_low_n
PRF1,50,50,0.88,0,0.88,0.552,127,1668,True,0,near_aligned
PTPN11,21,21,1.0,0,1.0,0.619,165,1782,True,0,aligned
PTPRC,2,,,,,,,,,,inconclusive_low_n
RAB27A,10,10,1.0,0,1.0,0.833,240,666,True,0,aligned
RAC2,1,,,,,,,,,,inconclusive_low_n
RAD50,1,,,,,,,,,,inconclusive_low_n
RAG1,33,33,0.848,0,0.848,0.55,130,3132,True,0,near_aligned
RAG2,13,10,0.9,0,0.9,0.714,162,1584,True,0,aligned
RASA1,3,3,1.0,1461,1.0,1.0,569,3144,True,1461,aligned
RFX5,3,3,0.667,725,1.0,1.0,173,1851,True,725,inconclusive_low_n
RFXANK,6,4,1.0,0,1.0,1.0,446,783,True,0,aligned
RFXAP,1,,,,,,,,,,inconclusive_low_n
SBDS,2,,,,,,,,,,inconclusive_low_n
SERPING1,64,64,1.0,0,1.0,0.5,60,1503,True,0,aligned
SH2,62,,,,,,,,,,no_mane_fasta
SH2D1A,9,9,1.0,0,1.0,1.0,80,387,True,0,aligned
SLC35C1,4,4,1.0,55,1.0,1.0,653,1095,True,55,aligned
SMARCAL1,25,25,1.0,0,1.0,0.619,260,2865,True,0,aligned
SPINK5,10,5,0.9,-1223,1.0,0.9,65,3195,True,-1223,aligned
STAT1,5,5,1.0,-189,1.0,1.0,309,2253,True,-189,aligned
STAT3,25,25,1.0,0,1.0,0.643,187,2313,True,0,aligned
STAT5B,2,,,,,,,,,,inconclusive_low_n
STIM1,1,,,,,,,,,,inconclusive_low_n
STX11,1,,,,,,,,,,inconclusive_low_n
STXBP2,6,6,1.0,0,1.0,1.0,40,1782,True,0,aligned
TAP1,2,,,,,,,,,,inconclusive_low_n
TAP2,2,,,,,,,,,,inconclusive_low_n
TAZ,19,19,1.0,0,1.0,0.636,305,879,True,0,aligned
TCN2,2,,,,,,,,,,inconclusive_low_n
TLR3,2,,,,,,,,,,inconclusive_low_n
TMC6,3,3,1.0,684,1.0,1.0,218,2418,True,684,aligned
TMC8,3,3,1.0,1021,1.0,1.0,389,2181,True,1021,aligned
TNFRSF13B,6,6,1.0,32,1.0,1.0,43,882,True,32,aligned
UNC13D,16,16,1.0,0,1.0,0.786,67,3273,True,0,aligned
UNC93B1,1,,,,,,,,,,inconclusive_low_n
UNG,1,,,,,,,,,,inconclusive_low_n
WAS,61,61,0.852,0,0.852,0.508,55,1509,True,0,near_aligned
ZAP70,5,5,1.0,0,1.0,1.0,199,1860,True,0,aligned
