gene,accession,status,strand,n_total,n_substitution,n_deletion,n_duplication,n_indel,n_insertion,n_unknown,n_anchorable,n_unanchorable,frac_anchorable,n_matched,n_in_test,match_rate,binomial_p,wilson_ci_low,wilson_ci_high,gene_span_bp,anchor_span_bp,coverage_frac,max_gap_bp,anchors_per_kb
CD79A,NG_009619.1,ok,+,4,4,0,0,0,0,0,4,0,1.0,4,4,1.0,0.00390625,0.5965,1.0,2924,239,0.0817,239,1.368
CD79B,NG_007368.1,ok,+,2,2,0,0,0,0,0,2,0,1.0,2,2,1.0,0.0625,0.425,1.0,2550,0,0.0,0,0.784
CD8A,NG_011608.2,ok,+,8,8,0,0,0,0,0,8,0,1.0,8,8,1.0,1.52587890625e-05,0.7473,1.0,1044,0,0.0,0,7.663
CEBPE,NG_009617.1,ok,+,5,1,2,2,0,0,0,5,0,1.0,1,1,1.0,0.25,0.2699,1.0,3225,0,0.0,0,0.31
CFD,NG_007274.1,seed_not_found,,12,12,0,0,0,0,0,12,0,1.0,0,12,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
CFH,NG_007259.1,below_threshold,-,123,116,6,0,0,1,0,122,1,0.9919,28,116,0.2414,0.619902387867649,0.1824,1.0,125723,74142,0.5897,25426,0.923
CFI,NG_007569.1,ok,+,25,21,0,4,0,0,0,25,0,1.0,21,21,1.0,2.2737367544323206e-13,0.8859,1.0,60486,24127,0.3989,8022,0.347
CFP,NG_009893.1,ok,+,36,29,7,0,0,0,0,36,0,1.0,29,29,1.0,3.469446951953614e-18,0.9147,1.0,5627,1846,0.3281,643,5.154
CIITA,NG_009628.1,ok,+,13,10,3,0,0,0,0,13,0,1.0,10,10,1.0,9.5367431640625e-07,0.7871,1.0,35092,3623,0.1032,2701,0.285
CTSC,NG_007952.1,ok,+,250,218,28,2,0,2,0,248,2,0.992,218,218,1.0,5.635362925894614e-132,0.9877,1.0,44659,43489,0.9738,22495,4.881
CXCR4,NG_011587.1,ok,+,33,29,4,0,0,0,0,33,0,1.0,29,29,1.0,3.469446951953614e-18,0.9147,1.0,4196,27,0.0064,14,6.911
CYBA,NG_007291.1,ok,+,168,100,45,23,0,0,0,168,0,1.0,100,100,1.0,6.223015277861142e-61,0.9737,1.0,8568,7538,0.8798,2865,11.671
CYBB,NG_009065.1,ok,+,1392,953,299,82,33,22,3,1367,22,0.982,950,953,0.9969,0.0,0.9921,1.0,31843,30897,0.9703,8358,29.928
DCLRE1C,NG_007276.1,ok,+,90,34,53,0,0,0,3,87,0,0.9667,32,32,1.0,5.421010862427522e-20,0.922,1.0,39349,34182,0.8687,14999,0.813
DKC1,NG_009780.1,ok,+,13,12,0,0,1,0,0,13,0,1.0,12,12,1.0,5.960464477539063e-08,0.816,1.0,12949,9234,0.7131,6839,0.927
DNMT3B,NG_007290.1,below_threshold,+,10,10,0,0,0,0,0,10,0,1.0,5,10,0.5,0.07812690734863281,0.2693,1.0,67699,27382,0.4045,16395,0.148
ELA2,NG_009627.1,below_threshold,-,160,152,4,0,0,0,4,156,0,0.975,101,152,0.6645,7.103844060933825e-27,0.5991,1.0,5069,3782,0.7461,2167,29.986
FASLG,NG_007269.1,seed_not_found,,3,2,1,0,0,0,0,3,0,1.0,0,2,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
FCGR1A,NG_033089.2,ok,+,8,8,0,0,0,0,0,8,0,1.0,8,8,1.0,1.52587890625e-05,0.7473,1.0,2493,0,0.0,0,3.209
FCGR3A,NG_009066.1,ok,+,6,6,0,0,0,0,0,6,0,1.0,6,6,1.0,0.000244140625,0.6892,1.0,2217,0,0.0,0,2.706
FERMT3,NG_016360.1,ok,+,50,48,0,0,0,2,0,48,2,0.96,47,47,1.0,5.048709793414476e-29,0.9456,1.0,17361,15682,0.9033,7903,2.765
FOXN1,NG_007260.1,seed_not_found,,4,4,0,0,0,0,0,4,0,1.0,0,4,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
FOXP3,NG_007392.1,seed_not_found,,48,36,8,0,1,0,3,45,0,0.9375,0,35,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
G6PC3,NG_015818.1,ok,+,41,39,0,0,0,2,0,39,2,0.9512,38,38,1.0,1.3234889800848443e-23,0.9335,1.0,6082,4725,0.7769,3591,6.412
GFI1,NG_007874.1,ok,+,5,5,0,0,0,0,0,5,0,1.0,5,5,1.0,0.0009765625,0.6489,1.0,11793,7291,0.6182,7228,0.424
HAX1,NG_007369.1,ok,+,74,25,5,4,0,40,0,34,40,0.4595,25,25,1.0,8.881784197001252e-16,0.9023,1.0,3655,1627,0.4451,1071,6.84
IFNGR1,NG_007394.1,seed_not_found,,102,33,60,7,0,2,0,100,2,0.9804,0,33,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
IFNGR2,NG_007570.2,ok,+,18,8,8,2,0,0,0,18,0,1.0,8,8,1.0,1.52587890625e-05,0.7473,1.0,25080,5361,0.2138,5361,0.319
IGHG2,,no_fasta,,10,6,0,4,0,0,0,10,0,1.0,0,0,0.0,,,,0,0,0.0,0,0.0
IGHM,,no_fasta,,26,16,10,0,0,0,0,26,0,1.0,0,0,0.0,,,,0,0,0.0,0,0.0
IGLL1,NG_009791.1,ok,+,1,1,0,0,0,0,0,1,0,1.0,1,1,1.0,0.25,0.2699,1.0,258,0,0.0,0,3.876
IKBKG,NG_009896.1,below_threshold,-,84,41,29,0,0,14,0,70,14,0.8333,26,41,0.6341,2.2988581674751946e-07,0.5057,1.0,22196,12425,0.5598,4036,1.847
IL12RB1,NG_007366.2,ok,+,112,87,9,4,12,0,0,112,0,1.0,87,87,1.0,4.176194859519056e-53,0.9698,1.0,26768,25635,0.9577,5449,3.25
IL2RA,NG_007403.1,ok,+,1,1,0,0,0,0,0,1,0,1.0,1,1,1.0,0.25,0.2699,1.0,39016,0,0.0,0,0.026
IL7R,NG_009567.1,ok,+,12,12,0,0,0,0,0,12,0,1.0,11,11,1.0,2.384185791015625e-07,0.8026,1.0,17604,12592,0.7153,6493,0.682
IRAK4,NG_009892.1,ok,+,41,31,6,4,0,0,0,41,0,1.0,31,31,1.0,2.168404344971009e-19,0.9197,1.0,29351,18269,0.6224,9983,1.056
ITGB2,NG_007270.2,ok,+,206,149,44,0,12,1,0,205,1,0.9951,149,149,1.0,1.9636373861190906e-90,0.9822,1.0,35054,32908,0.9388,8963,4.251
JAK3,NG_007273.1,ok,+,48,41,6,1,0,0,0,48,0,1.0,41,41,1.0,2.0679515313825692e-25,0.9381,1.0,19255,14198,0.7374,2819,2.129
LIG1,NG_007395.1,ok,+,1,1,0,0,0,0,0,1,0,1.0,1,1,1.0,0.25,0.2699,1.0,38293,0,0.0,0,0.026
LIG4,NG_007396.1,ok,+,16,14,2,0,0,0,0,16,0,1.0,14,14,1.0,3.725290298461914e-09,0.838,1.0,6954,2432,0.3497,737,2.013
LYST,NG_007397.1,ok,+,63,26,29,2,0,6,0,57,6,0.9048,25,25,1.0,8.881784197001252e-16,0.9023,1.0,190799,169233,0.887,56732,0.136
MAPBPIP,NG_009898.1,ok,+,8,8,0,0,0,0,0,8,0,1.0,8,8,1.0,1.52587890625e-05,0.7473,1.0,4581,0,0.0,0,1.746
MASP2,NG_007289.2,ok,+,2,2,0,0,0,0,0,2,0,1.0,2,2,1.0,0.0625,0.425,1.0,1630,0,0.0,0,1.227
MLPH,NG_007286.1,ok,+,2,2,0,0,0,0,0,2,0,1.0,2,2,1.0,0.0625,0.425,1.0,7243,0,0.0,0,0.276
MPO,NG_009629.1,ok_reverse,-,46,38,8,0,0,0,0,46,0,1.0,37,38,0.9737,1.522012327097571e-21,0.8903,1.0,12564,8665,0.6897,4365,3.025
MRE11A,NG_007261.1,ok,+,33,31,0,2,0,0,0,33,0,1.0,31,31,1.0,2.168404344971009e-19,0.9197,1.0,57639,42520,0.7377,22260,0.538
MYO5A,NG_009887.1,ok,+,4,4,0,0,0,0,0,4,0,1.0,4,4,1.0,0.00390625,0.5965,1.0,178684,25068,0.1403,25068,0.022
NCF1,NG_009078.2,ok,+,53,7,46,0,0,0,0,53,0,1.0,7,7,1.0,6.103515625e-05,0.7212,1.0,10506,6207,0.5908,5739,0.666
NCF2,NG_007267.1,ok,+,199,136,56,6,0,1,0,198,1,0.995,132,132,1.0,3.3735033418337674e-80,0.9799,1.0,31307,30054,0.96,9186,4.344
NFKBIA,NG_007571.1,ok,+,1,1,0,0,0,0,0,1,0,1.0,1,1,1.0,0.25,0.2699,1.0,1134,0,0.0,0,0.882
NHEJ1,NG_007880.1,ok,+,18,10,4,4,0,0,0,18,0,1.0,10,10,1.0,9.5367431640625e-07,0.7871,1.0,25092,11458,0.4566,10534,0.399
NP,NG_009631.1,ok,+,24,23,1,0,0,0,0,24,0,1.0,23,23,1.0,1.4210854715202004e-14,0.8947,1.0,8023,4066,0.5068,2025,2.867
NRAS,NG_007572.1,seed_not_found,,1,1,0,0,0,0,0,1,0,1.0,0,1,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
ORAI1,NG_007500.1,ok,+,7,5,0,0,0,2,0,5,2,0.7143,5,5,1.0,0.0009765625,0.6489,1.0,15176,14033,0.9247,14033,0.329
PIK3R1,NG_012849.2,ok,+,1,1,0,0,0,0,0,1,0,1.0,1,1,1.0,0.25,0.2699,1.0,78635,0,0.0,0,0.013
PRF1,NG_009615.1,ok,+,236,187,49,0,0,0,0,236,0,1.0,187,187,1.0,2.598852441411225e-113,0.9857,1.0,6023,2747,0.4561,1201,31.048
PTPN11,NG_007459.1,ok,+,249,247,0,0,0,0,2,247,0,0.992,247,247,1.0,1.955159272639747e-149,0.9892,1.0,35586,6932,0.1948,3967,6.941
PTPRC,NG_007730.2,ok,+,9,7,2,0,0,0,0,9,0,1.0,7,7,1.0,6.103515625e-05,0.7212,1.0,58693,18,0.0003,18,0.119
RAB27A,NG_009103.1,ok,+,95,41,52,0,2,0,0,95,0,1.0,41,41,1.0,2.0679515313825692e-25,0.9381,1.0,66030,29295,0.4437,18265,0.621
RAC2,NG_007288.1,ok,+,2,2,0,0,0,0,0,2,0,1.0,2,2,1.0,0.0625,0.425,1.0,12413,0,0.0,0,0.161
RAD50,NG_021151.2,ok,+,1,1,0,0,0,0,0,1,0,1.0,1,1,1.0,0.25,0.2699,1.0,62245,0,0.0,0,0.016
RAG1,NG_007528.1,below_threshold,+,84,58,26,0,0,0,0,84,0,1.0,51,57,0.8947,1.3242888254159473e-24,0.8091,1.0,9234,7936,0.8594,4923,6.281
RAG2,NG_033154.1,below_threshold,+,55,48,7,0,0,0,0,55,0,1.0,38,47,0.8085,1.4656373120833852e-15,0.6984,1.0,6510,5205,0.7995,3183,7.373
RASA1,NG_011650.1,ok,+,3,3,0,0,0,0,0,3,0,1.0,3,3,1.0,0.015625,0.5258,1.0,82425,8,0.0001,5,0.036
RASGRP2,NG_007574.1,ok,+,4,4,0,0,0,0,0,4,0,1.0,4,4,1.0,0.00390625,0.5965,1.0,16936,0,0.0,0,0.236
RFX5,NG_007576.1,seed_not_found,,15,15,0,0,0,0,0,15,0,1.0,0,15,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
RFXANK,NG_007432.1,ok,+,57,54,3,0,0,0,0,57,0,1.0,16,16,1.0,2.3283064365386963e-10,0.8554,1.0,7870,2109,0.268,592,6.861
RFXAP,NG_007876.1,seed_not_found,,14,4,6,0,0,4,0,10,4,0.7143,0,4,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
SBDS,NG_007277.1,ok,+,234,62,13,1,158,0,0,234,0,1.0,62,62,1.0,4.70197740328915e-38,0.9582,1.0,8130,6890,0.8475,2783,7.626
SERPING1,NG_009625.1,below_threshold,+,267,183,58,16,7,1,2,264,1,0.9888,126,178,0.7079,1.6600408637679351e-37,0.649,1.0,18075,16329,0.9034,5156,10.124
SH2,,no_fasta,,351,328,15,6,0,0,2,349,0,0.9943,0,0,0.0,,,,0,0,0.0,0,0.0
SH2D1A,,too_large,,27,24,0,3,0,0,0,27,0,1.0,0,0,0.0,,,,0,0,0.0,0,0.0
SLC35C1,NG_009875.1,ok,+,18,16,2,0,0,0,0,18,0,1.0,16,16,1.0,2.3283064365386963e-10,0.8554,1.0,6444,5010,0.7775,4923,2.483
SMARCAL1,NG_009771.1,ok,+,59,53,3,1,0,2,0,57,2,0.9661,53,53,1.0,1.232595164407831e-32,0.9514,1.0,64512,63509,0.9845,24354,0.822
SPINK5,NG_009633.1,ok,+,131,53,45,29,0,4,0,127,4,0.9695,51,53,0.9623,1.5483860455291172e-28,0.8922,1.0,57019,54691,0.9592,16026,0.93
STAT1,NG_008294.1,ok,+,13,11,2,0,0,0,0,13,0,1.0,11,11,1.0,2.384185791015625e-07,0.8026,1.0,38859,15477,0.3983,7608,0.283
STAT2,NG_046314.1,ok,+,10,10,0,0,0,0,0,10,0,1.0,10,10,1.0,9.5367431640625e-07,0.7871,1.0,5453,0,0.0,0,1.834
STAT3,NG_007370.1,ok,+,94,84,10,0,0,0,0,94,0,1.0,84,84,1.0,2.6727647100921956e-51,0.9688,1.0,64595,11315,0.1752,4054,1.3
STAT5B,NG_007271.1,ok,+,8,4,0,4,0,0,0,8,0,1.0,4,4,1.0,0.00390625,0.5965,1.0,67275,13289,0.1975,13289,0.059
STIM1,NG_016277.1,ok,+,4,4,0,0,0,0,0,4,0,1.0,4,4,1.0,0.00390625,0.5965,1.0,200844,0,0.0,0,0.02
STX11,NG_007613.1,ok,+,38,10,10,0,18,0,0,38,0,1.0,10,10,1.0,9.5367431640625e-07,0.7871,1.0,37898,0,0.0,0,0.264
STXBP2,NG_016709.1,ok,+,52,47,5,0,0,0,0,52,0,1.0,47,47,1.0,5.048709793414476e-29,0.9456,1.0,11313,6467,0.5716,2210,4.155
TAP1,NG_011759.1,seed_not_found,,12,10,2,0,0,0,0,12,0,1.0,0,10,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
TAP2,NG_009793.4,seed_not_found,,8,4,4,0,0,0,0,8,0,1.0,0,4,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
TAZ,,no_fasta,,86,66,9,10,0,1,0,85,1,0.9884,0,0,0.0,,,,0,0,0.0,0,0.0
TCN2,NG_007263.1,seed_not_found,,20,10,10,0,0,0,0,20,0,1.0,0,10,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
TLR3,NG_007278.1,ok,+,3,3,0,0,0,0,0,3,0,1.0,3,3,1.0,0.015625,0.5258,1.0,15192,752,0.0495,752,0.197
TMC6,NG_007879.1,ok,+,21,15,2,4,0,0,0,21,0,1.0,15,15,1.0,9.313225746154785e-10,0.8472,1.0,14026,6946,0.4952,5289,1.069
TMC8,NG_007881.1,ok,+,22,16,6,0,0,0,0,22,0,1.0,16,16,1.0,2.3283064365386963e-10,0.8554,1.0,5179,3046,0.5881,1524,3.089
TNFRSF13B,NG_007281.1,ok,+,81,76,0,3,1,1,0,80,1,0.9877,76,76,1.0,1.7516230804060213e-46,0.9656,1.0,32737,31662,0.9672,19493,2.322
UNC13D,NG_007266.1,ok,+,111,75,31,5,0,0,0,111,0,1.0,73,73,1.0,1.1210387714598537e-44,0.9643,1.0,17673,15200,0.8601,3798,4.244
UNC93B1,NG_007581.1,ok,+,4,2,2,0,0,0,0,4,0,1.0,2,2,1.0,0.0625,0.425,1.0,6765,0,0.0,0,0.296
UNG,NG_007284.1,ok,+,2,1,1,0,0,0,0,2,0,1.0,1,1,1.0,0.25,0.2699,1.0,1952,0,0.0,0,0.512
WAS,NG_007877.1,seed_not_found,,262,213,30,15,0,4,0,258,4,0.9847,0,212,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
ZAP70,NG_007727.1,ok,+,30,26,4,0,0,0,0,30,0,1.0,24,26,0.9231,6.67021993194794e-13,0.7922,1.0,25494,13786,0.5408,7533,1.02
