gene,nm_accession,status,sstart,send,matched,total,match_pct,non_matching_accessions
CD40L,NM_000074.3,below_threshold,36,1852,79,152,0.5197,C0048;C0052;C0057;C0058;C0115;C0116;C0117;C0141;C0142;C0144;C0150;C0151;C0153;C0156;C0157;C0158;C0159;C0160;C0161;C0163;C0164;C0165;C0167;C0168;C0169;C0171;C0172;C0174;C0178;C0179;C0180;C0181;C0182;C0183;C0185;C0186;C0187;C0188;C0189;C0199;C0203;C0205;C0206;C0207;C0208;C0209;C0211;C0212;C0213;C0214;C0215;C0216;C0217;C0220;C0221;C0222;C0224;C0225;C0226;C0227;C0228;C0229;C0230;C0232;C0240;C0242;C0243;C0245;C0246;C0247;C0248;C0249;C0250
CD55,NM_000574.5,ok,89,2590,18,18,1.0,
CD79A,NM_001783.4,ok,51,1099,4,4,1.0,
CD79B,NM_000626.4,ok,2,1246,2,2,1.0,
CD8A,NM_001768.7,ok,10,2106,8,8,1.0,
CEBPE,NM_001805.4,ok,7,1191,1,1,1.0,
CFD,NM_001928.4,ok,27,1191,12,12,1.0,
CFH,NM_000186.4,below_threshold,76,3962,76,114,0.6667,H0001;H0002;H0003;H0004;H0005;H0006;H0007;H0008;H0010;H0013;H0014;H0015;H0018;H0019;H0020;H0021;H0022;H0023;H0025;H0064;H0085;H0086;H0087;H0088;H0089;H0090;H0091;H0092;H0093;H0094;H0095;H0096
CFI,NM_000204.5,ok,29,1978,21,21,1.0,
CFP,NM_001145252.3,below_threshold,230,2489,25,29,0.8621,P0007;P0008;P0011;P0036
CIITA,NM_000246.4,ok,276,16061,10,10,1.0,
CTSC,NM_001814.6,ok,65,1870,202,212,0.9528,C0035;C0108;C0109;C0110;C0111
CXCR4,NM_003467.3,ok,30,1668,29,29,1.0,
CYBA,NM_000101.4,ok,41,692,90,98,0.9184,H0009;H0035;H0072;H0099
CYBB,NM_000397.4,ok,20,4276,848,937,0.905,A0003;A0005;A0009;A0078;A0104;A0105;A0164;A0223;A0224;A0232;A0235;A0236;A0237;A0471;A0498;A0499;A0500;A0501;A0504;A0505;A0506;A0512;A0513;A0514;A0518;A0519;A0521;A0525;A0527;A0528;A0531;A0533;A0561;A0562;A0580;A0592;A0593;A0616;A0625;A0626;A0661;A0662;A0663;A0665;A0669;A0670;A0671;A0698;A0699;A0704;A0706;A0707;A0708;A0783;A0792;A0793;A0794;A0795;A0796;A0826;A0895;A0896;A0935;A0936;A0937;A0938;A0948;A0949;A0950;A0951;A0952;A0955;A1046;A1047;A1049;A1050;A1195;A1196;A1197;A1198;A1199;A1235;A1303;A1305;A1306;A1307;A1426;A1427;A1434
DCLRE1C,NM_001033855.3,below_threshold,1035,5960,29,34,0.8529,D0015;D0016;D0040
DKC1,NM_001363.5,ok,103,2469,12,12,1.0,
DNMT3B,NM_006892.4,ok,280,4336,10,10,1.0,
ELA2,NM_001972.4,below_threshold,27,909,115,151,0.7616,E0041;E0042;E0043;E0044;E0045;E0046;E0047;E0048;E0049;E0050;E0051;E0052;E0053;E0054;E0055;E0056;E0057;E0058;E0059;E0060;E0061;E0062;E0063;E0064;E0065;E0066;E0067;E0087;E0089;E0090;E0091;E0092;E0094;E0123;E0124;E0131
FASLG,NM_000639.3,ok,5,1805,2,2,1.0,
FCGR1A,NM_000566.4,ok,1,1333,8,8,1.0,
FCGR3A,NM_000569.8,ok,12,2100,6,6,1.0,
FERMT3,NM_031471.6,ok,13,2499,42,44,0.9545,F0016
FOXN1,NM_001369369.1,ok,1,3521,4,4,1.0,
FOXP3,NM_014009.4,ok,73,2264,32,35,0.9143,F0037;F0041;F0049
G6PC3,NM_138387.4,ok,232,1573,37,37,1.0,
GFI1,NM_005263.5,ok,15,4554,5,5,1.0,
HAX1,NM_006118.4,ok,96,1109,24,24,1.0,
IFNGR1,NM_000416.3,ok,59,2074,29,31,0.9355,I0007
IFNGR2,NM_005534.4,ok,17,1699,8,8,1.0,
IGHG2,,no_fasta,,,,,,
IGHM,,no_fasta,,,,,,
IGLL1,NM_020070.4,ok,1,883,1,1,1.0,
IKBKG,NM_001099857.5,below_threshold,142,1973,22,37,0.5946,I0001;I0002;I0003;I0004;I0005;I0006;I0008;I0009;I0010;I0011;I0012;I0013;I0014;I0015;I0017
IL12RB1,NM_005535.3,below_threshold,806,2713,72,84,0.8571,I0004;I0005;I0010;I0021;I0050;I0055
IL7R,NM_002185.5,ok,43,4584,11,11,1.0,
IRAK4,NM_016123.4,ok,76,4284,30,30,1.0,
ITGB2,NM_000211.5,ok,83,2807,103,112,0.9196,A0048;A0049;A0053;A0057;A0058
JAK3,NM_000215.4,ok,51,5386,26,28,0.9286,J0014
LIG1,NM_000234.3,ok,2,3125,1,1,1.0,
LIG4,NM_206937.2,ok,31,3981,7,7,1.0,
LYST,NM_000081.4,below_threshold,3954,13466,16,24,0.6667,C0003;C0024;C0025;C0036;C0037
MAPBPIP,NM_014017.4,ok,1,621,8,8,1.0,
MASP2,NM_006610.4,ok,8,2455,2,2,1.0,
MLPH,NM_024101.7,ok,1,3744,2,2,1.0,
MPO,NM_000250.2,ok,178,3216,33,37,0.8919,M0025;M0031
MRE11A,NM_005591.4,ok,17,6841,31,31,1.0,
MYO5A,NM_001382347.1,ok,3,12130,4,4,1.0,
NCF1,NM_000265.7,ok,6,1349,6,6,1.0,
NCF2,NM_000433.4,below_threshold,131,2267,112,125,0.896,M0010;M0020;M0046;M0065;M0066;M0085;M0116
NFKBIA,NM_020529.3,ok,1,1559,1,1,1.0,
NHEJ1,NM_024782.3,ok,97,8020,10,10,1.0,
NP,NM_000270.4,ok,120,1477,22,22,1.0,
NRAS,NM_002524.5,ok,2,4326,1,1,1.0,
ORAI1,NM_032790.4,ok,9,2585,5,5,1.0,
PIK3R1,NM_181523.3,ok,4,6975,1,1,1.0,
PRF1,NM_001083116.3,ok,128,2500,170,179,0.9497,P0008;P0013;P0014;P0017;P0018;P0020
PTPN11,NM_002834.5,ok,166,6073,247,247,1.0,
PTPRC,NM_002838.5,ok,16,5357,7,7,1.0,
RAB27A,NM_183235.3,ok,241,3447,39,41,0.9512,R0016
RAC2,NM_002872.5,ok,1,1472,2,2,1.0,
RAD50,NM_005732.4,ok,4,8272,1,1,1.0,
RAG1,NM_000448.3,ok,131,6588,49,54,0.9074,R0008;R0009;R0014;R0034
RAG2,NM_000536.4,below_threshold,167,2388,27,45,0.6,S0007;S0009;S0014;S0015;S0018;S0019;S0022;S0040;S0041;S0042;S0045
RASA1,NM_002890.3,ok,42,4746,3,3,1.0,
RASGRP2,NM_001098671.2,ok,3,2268,4,4,1.0,
RFX5,NM_001025603.2,ok,13,3570,8,8,1.0,
RFXANK,NM_003721.4,ok,30,1376,10,12,0.8333,R0026
RFXAP,NM_000538.4,ok,6,2306,4,4,1.0,
SBDS,NM_016038.4,ok,175,1613,59,59,1.0,
SERPING1,NM_000062.3,below_threshold,59,1830,51,178,0.2865,S0003;S0004;S0006;S0007;S0013;S0014;S0015;S0017;S0018;S0019;S0020;S0022;S0023;S0024;S0025;S0029;S0030;S0032;S0034;S0037;S0038;S0042;S0043;S0044;S0045;S0046;S0052;S0053;S0054;S0055;S0056;S0057;S0058;S0059;S0062;S0063;S0064;S0073;S0074;S0075;S0076;S0089;S0090;S0092;S0093;S0105;S0106;S0111;S0112;S0115;S0119;S0122;S0123;S0124;S0125;S0130;S0131;S0132;S0133;S0134;S0135;S0136;S0139;S0140;S0141;S0142;S0143;S0144;S0149;S0150;S0151;S0152;S0156;S0161;S0169;S0171;S0172;S0173;S0174;S0179;S0180;S0181;S0182;S0183;S0195;S0198;S0199;S0209;S0210;S0212;S0213;S0214;S0215;S0216;S0218;S0219;S0220;S0222;S0223;S0225;S0226;S0228;S0229;S0232;S0233;S0234;S0236;S0237;S0238;S0240;S0241;S0263;S0264;S0268;S0269;S0270;S0271;S0272;S0273;S0274;S0275;S0276;S0284;S0285;S0286
SH2,,no_fasta,,,,,,
SH2D1A,NM_002351.5,below_threshold,81,2236,19,22,0.8636,A0133;A0134;A0135
SLC35C1,NM_018389.5,ok,278,3429,16,16,1.0,
SMARCAL1,NM_014140.4,ok,261,3201,52,52,1.0,
SPINK5,NM_006846.4,below_threshold,863,3651,29,41,0.7073,S0008;S0009;S0027;S0029;S0037;S0070;S0078;S0085
STAT1,NM_007315.4,ok,121,4116,11,11,1.0,
STAT2,NM_005419.4,ok,16,4405,10,10,1.0,
STAT3,NM_139276.3,ok,188,4921,84,84,1.0,
STAT5B,NM_012448.4,ok,1,5079,4,4,1.0,
STIM1,NM_001382567.1,ok,1,4168,4,4,1.0,
STX11,NM_003764.4,ok,1,5504,10,10,1.0,
STXBP2,NM_006949.4,ok,41,1885,47,47,1.0,
TAP1,NM_000593.6,ok,15,2685,8,8,1.0,
TAP2,NM_001290043.2,ok,19,5643,4,4,1.0,
TAZ,NM_000116.5,ok,306,1906,61,66,0.9242,T0011;T0012;T0015;T0086;T0087
TCN2,NM_000355.4,ok,86,2192,10,10,1.0,
TLR3,NM_003265.3,ok,26,6015,3,3,1.0,
TMC6,NM_001127198.5,ok,9,8387,15,15,1.0,
TMC8,NM_152468.5,ok,24,4426,16,16,1.0,
TNFRSF13B,NM_012452.3,ok,9,1391,75,75,1.0,
UNC13D,NM_199242.3,ok,68,4080,64,70,0.9143,U0029;U0060;U0062;U0070;U0071
UNC93B1,NM_030930.4,ok,3,2294,2,2,1.0,
UNG,NM_080911.3,ok,1,2048,1,1,1.0,
WAS,NM_000377.3,below_threshold,56,1829,180,211,0.8531,W0003;W0004;W0006;W0013;W0016;W0017;W0021;W0023;W0024;W0026;W0027;W0078;W0079;W0080;W0082;W0096;W0097;W0101;W0120;W0121;W0122;W0243;W0257;W0258;W0259;W0260;W0261;W0262;W0263;W0264;W0265
ZAP70,NM_001079.4,ok,153,2421,24,26,0.9231,Z0016
