gene,ng_accession,status,strand,sstart,send,matched,total,match_pct,non_matching_accessions
IGHG2,,ok,+,1,1795,6,10,0.6,I0001;I0002
IGHM,,no_fasta,,,,,,,
IGLL1,NG_009791.1,ok,+,1,258,1,1,1.0,
IKBKG,,no_fasta,,,,,,,
IL12B,NG_009618.1,ok,+,1,9817,24,24,1.0,
IL12RB1,NG_007366.2,ok,+,1,26768,95,95,1.0,
IL2RA,NG_007403.1,ok,+,1,39016,1,1,1.0,
IL7R,NG_009567.1,ok,+,1,17604,11,11,1.0,
IRAK4,NG_009892.1,ok,+,1,29351,41,41,1.0,
ITGB2,NG_007270.2,ok,+,1,35054,186,186,1.0,
JAK3,NG_007273.1,ok,+,1,19255,48,48,1.0,
LIG1,NG_007395.1,ok,+,1,38293,1,1,1.0,
LIG4,NG_007396.1,ok,+,1,6954,16,16,1.0,
LYST,NG_007397.1,ok,+,1,190799,54,54,1.0,
MAPBPIP,NG_009898.1,ok,+,1,4581,8,8,1.0,
MASP2,NG_007289.2,ok,+,1,1630,2,2,1.0,
MLPH,NG_007286.1,ok,+,1,7243,2,2,1.0,
MPO,,no_fasta,,,,,,,
MRE11A,NG_007261.1,ok,+,1,57639,33,33,1.0,
MYO5A,NG_009887.1,ok,+,1,178684,4,4,1.0,
NCF1,,ok,+,1,10506,53,53,1.0,
NCF2,NG_007267.1,ok,+,1,31307,175,175,1.0,
NFKBIA,NG_007571.1,ok,+,1,1134,1,1,1.0,
NHEJ1,NG_007880.1,ok,+,5373,30464,16,18,0.8889,N0003;N0004
NP,NG_009631.1,ok,+,1,8023,24,24,1.0,
NRAS,,no_fasta,,,,,,,
ORAI1,NG_007500.1,ok,+,1,15176,5,5,1.0,
PIK3R1,,no_fasta,,,,,,,
PRF1,NG_009615.1,ok,+,1,6031,236,236,1.0,
PRKDC,NG_023435.1,ok,+,1,102329,1,1,1.0,
PTPN11,,no_fasta,,,,,,,
PTPRC,NG_007730.2,ok,+,1,71651,9,9,1.0,
RAB27A,NG_009103.1,ok,+,1,66030,87,87,1.0,
RAC2,NG_007288.1,ok,+,1,12413,2,2,1.0,
RAD50,NG_021151.2,ok,+,1,62245,1,1,1.0,
RAG1,NG_007528.1,below_threshold,+,1,9234,70,83,0.8434,R0008;R0011;R0014;R0019;R0021;R0030;R0031;R0034;R0036;R0041
RAG2,NG_007573.1,below_threshold,+,430,6939,30,54,0.5556,S0007;S0009;S0014;S0015;S0018;S0019;S0020;S0021;S0023;S0036;S0041;S0042;S0043;S0045;S0046
RASA1,,no_fasta,,,,,,,
RASGRP2,NG_007574.1,ok,+,1,16936,4,4,1.0,
RFX5,,ok,+,1,33536,15,15,1.0,
RFXANK,NG_007432.1,ok,+,1,7870,17,17,1.0,
RFXAP,,no_fasta,,,,,,,
SBDS,NG_007277.1,ok,+,1,8130,76,76,1.0,
SERPING1,,no_fasta,,,,,,,
SH2,,no_fasta,,,,,,,
SH2D1A,,no_fasta,,,,,,,
SLC35C1,NG_009875.1,ok,+,1,6444,18,18,1.0,
SMARCAL1,NG_009771.1,ok,+,1,64512,56,56,1.0,
SP110,NG_008295.1,ok,+,1,8567,12,12,1.0,
SPINK5,NG_009633.1,ok,+,1,57277,120,122,0.9836,S0071
STAT1,NG_008294.1,ok,+,1,38859,13,13,1.0,
STAT2,NG_046314.1,ok,+,1,5453,10,10,1.0,
STAT3,NG_007370.1,ok,+,1,64723,94,94,1.0,
STAT5B,NG_007271.1,ok,+,114,67388,8,8,1.0,
STIM1,NG_016277.1,ok,+,1,200844,4,4,1.0,
STX11,NG_007613.1,ok,+,1,37898,18,18,1.0,
STXBP2,NG_016709.1,ok,+,1,11313,52,52,1.0,
TAP1,,no_fasta,,,,,,,
TAP2,,no_fasta,,,,,,,
TAZ,,no_fasta,,,,,,,
TCIRG1,,no_fasta,,,,,,,
TCN2,,no_fasta,,,,,,,
TLR3,NG_007278.1,ok,+,1,15192,3,3,1.0,
TMC6,NG_007879.1,ok,+,1,14026,17,17,1.0,
TMC8,NG_007881.1,ok,+,1,5179,20,22,0.9091,E0011
TNFRSF13B,NG_007281.1,ok,+,1,32737,79,79,1.0,
TYK2,NG_007872.1,ok,+,1,11030,2,2,1.0,
UNC13D,NG_007266.1,ok,+,1,17673,107,109,0.9817,U0051
UNC93B1,NG_007581.1,ok,+,1,8469,4,4,1.0,
UNG,NG_007284.1,ok,+,1,2632,2,2,1.0,
WAS,,no_fasta,,,,,,,
ZAP70,NG_007727.1,ok,+,1,25494,28,30,0.9333,Z0012
