gene,ng_accession,status,strand,sstart,send,matched,total,match_pct,non_matching_accessions
C1QB,NG_007283.1,ok,+,118,9225,10,10,1.0,
C1QC,NG_007565.1,ok,+,167,4805,10,10,1.0,
C1S,NG_011694.1,ok,+,4073,14698,11,11,1.0,
C2,NG_011730.1,ok,+,2,2152,1,1,1.0,
C3,NG_009557.1,ok,+,1874,45235,15,16,0.9375,C0013
C5,NG_007364.1,ok,+,97,88606,10,10,1.0,
C6,NG_046998.1,seed_not_found,,,,0,16,0.0,
C7,,no_fasta,,,,,,,
C8B,NG_007285.1,ok,+,2369,28380,106,106,1.0,
C9,NG_009894.1,ok,+,46,24247,14,14,1.0,
CARD9,NG_021197.1,ok,+,2,4321,14,14,1.0,
CASP10,NG_007265.1,ok,+,8,27214,3,3,1.0,
CASP8,NG_007497.1,ok,+,2,19792,4,4,1.0,
CD19,NG_007275.1,ok,+,556,7235,9,9,1.0,
CD247,NG_007384.1,ok,+,2,80236,2,2,1.0,
CD3D,NG_009891.1,ok,+,5,3147,12,12,1.0,
CD3E,NG_007383.1,ok,+,38,8944,2,2,1.0,
CD3G,NG_007566.1,ok,+,4,6486,2,2,1.0,
CD40,NG_007279.1,seed_not_found,,,,0,6,0.0,
CD40L,NG_007280.1,ok,+,4018,16229,199,205,0.9707,C0047;C0048;C0052;C0057;C0058;C0193
CD55,NG_007465.1,ok,+,942,7191,18,18,1.0,
CD59,NG_008057.1,ok,+,2,20064,2,2,1.0,
CD79A,NG_009619.1,ok,+,38,2961,4,4,1.0,
CD79B,NG_007368.1,ok,+,2,2551,2,2,1.0,
CD8A,NG_011608.2,ok,+,17,1060,8,8,1.0,
CEBPE,NG_009617.1,ok_reverse,-,5643,8867,5,5,1.0,
CFD,NG_007274.1,seed_not_found,,,,0,12,0.0,
CFH,NG_007259.1,below_threshold,-,5431,131175,26,122,0.2131,H0001;H0002;H0003;H0007;H0008;H0009;H0010;H0013;H0014;H0015;H0016;H0017;H0018;H0019;H0020;H0021;H0022;H0023;H0025;H0026;H0027;H0031;H0032;H0034;H0035;H0036;H0037;H0038;H0039;H0040;H0041;H0043;H0044;H0045;H0046;H0047;H0048;H0049;H0050;H0051;H0052;H0053;H0054;H0055;H0056;H0057;H0058;H0059;H0060;H0061;H0062;H0063;H0064;H0065;H0066;H0067;H0068;H0069;H0070;H0071;H0072;H0073;H0074;H0075;H0076;H0077;H0078;H0079;H0080;H0081;H0082;H0083;H0084;H0093;H0094;H0095;H0096;H0097;H0098;H0099;H0100;H0101;H0102;H0103;H0104;H0105;H0106
CFI,NG_007569.1,ok,+,4015,64500,21,21,1.0,
CFP,NG_009893.1,ok,+,3256,8882,36,36,1.0,
CIITA,NG_009628.1,ok,+,509,35600,10,10,1.0,
CTSC,NG_007952.1,ok,+,4004,48662,248,248,1.0,
CXCR4,NG_011587.1,ok,+,4060,8255,33,33,1.0,
CYBA,NG_007291.1,ok,+,4009,12593,158,160,0.9875,H0042
CYBB,NG_009065.1,ok,+,4048,35890,1204,1208,0.9967,A0310;A0514;A0528;A0953
DCLRE1C,NG_007276.1,ok,+,1,49961,45,45,1.0,
DKC1,NG_009780.1,ok,+,4003,16951,12,12,1.0,
DNMT3B,NG_007290.1,below_threshold,+,20,67718,5,10,0.5,A0018;A0019;A0020
ELA2,NG_009627.1,below_threshold,-,848,5916,101,156,0.6474,E0010;E0011;E0012;E0013;E0014;E0015;E0016;E0017;E0018;E0019;E0048;E0049;E0050;E0051;E0068;E0069;E0070;E0073;E0081;E0082;E0083;E0084;E0085;E0088;E0095;E0097;E0100;E0102;E0103;E0104;E0105;E0109;E0111;E0112;E0113;E0114;E0115;E0117;E0118;E0120;E0122;E0125;E0126;E0127;E0133;E0134;E0145;E0146;E0147;E0149;E0150;E0153;E0155;E0156;E0158
FASLG,NG_007269.1,seed_not_found,,,,0,2,0.0,
FCGR1A,NG_033089.2,ok,+,7,2499,8,8,1.0,
FCGR3A,NG_009066.1,ok,+,3,2219,6,6,1.0,
FERMT3,NG_016360.1,ok,+,4055,21415,47,47,1.0,
FOXN1,NG_007260.1,seed_not_found,,,,0,4,0.0,
FOXP3,NG_007392.1,seed_not_found,,,,0,43,0.0,
G6PC3,NG_015818.1,ok,+,4021,10102,38,38,1.0,
GFI1,NG_007874.1,ok,+,40,11832,5,5,1.0,
HAX1,NG_007369.1,ok,+,3949,7603,34,34,1.0,
IFNGR1,NG_007394.1,seed_not_found,,,,0,99,0.0,
IFNGR2,NG_007570.2,ok,+,21904,52792,16,16,1.0,
IGHG2,,no_fasta,,,,,,,
IGHM,,no_fasta,,,,,,,
IGLL1,NG_009791.1,ok,+,7,264,1,1,1.0,
IKBKG,NG_009896.1,below_threshold,-,4191,26386,21,45,0.4667,I0001;I0002;I0004;I0008;I0009;I0010;I0017;I0020;I0021;I0023;I0025;I0026;I0037;I0038;I0040;I0043;I0044;I0046;I0048;I0052;I0053;I0056;I0065;I0076
IL12B,NG_009618.1,ok,+,2560,12376,24,24,1.0,
IL12RB1,NG_007366.2,ok,+,16063,42830,95,95,1.0,
IL2RA,NG_007403.1,ok,+,3,39018,1,1,1.0,
IL7R,NG_009567.1,ok,+,668,18271,11,11,1.0,
IRAK4,NG_009892.1,ok,+,3121,32471,41,41,1.0,
ITGB2,NG_007270.2,ok,+,11950,47003,186,186,1.0,
JAK3,NG_007273.1,ok,+,3519,22773,48,48,1.0,
LIG1,NG_007395.1,ok,+,4,38296,1,1,1.0,
LIG4,NG_007396.1,ok,+,4753,11706,16,16,1.0,
LYST,NG_007397.1,ok,+,20716,211514,54,54,1.0,
MAPBPIP,NG_009898.1,ok,+,4,4584,8,8,1.0,
MASP2,NG_007289.2,ok,+,3,1632,2,2,1.0,
MLPH,NG_007286.1,ok,+,4,7246,2,2,1.0,
MPO,NG_009629.1,below_threshold,-,5361,17924,38,46,0.8261,M0018;M0026;M0028;M0035;M0037;M0038;M0039
MRE11A,NG_007261.1,ok,+,68,57706,33,33,1.0,
MYO5A,NG_009887.1,ok,+,21,178704,4,4,1.0,
NCF1,NG_009078.2,ok,+,2294,12799,53,53,1.0,
NCF2,NG_007267.1,ok,+,4001,35307,175,175,1.0,
NFKBIA,NG_007571.1,ok,+,1,1134,1,1,1.0,
NHEJ1,NG_007880.1,ok,+,5828,30919,16,18,0.8889,N0003;N0004
NP,NG_009631.1,ok,+,4028,12050,24,24,1.0,
NRAS,NG_007572.1,seed_not_found,,,,0,1,0.0,
ORAI1,NG_007500.1,ok,+,10,15185,5,5,1.0,
PIK3R1,NG_012849.2,ok,+,1,78635,1,1,1.0,
PRF1,NG_009615.1,ok,+,3601,9631,236,236,1.0,
PRKDC,NG_023435.1,ok,+,145,102473,1,1,1.0,
PTPN11,NG_007459.1,ok,+,4001,39586,247,247,1.0,
PTPRC,NG_007730.2,ok,+,4002,75652,9,9,1.0,
RAB27A,NG_009103.1,ok,+,23200,89229,87,87,1.0,
RAC2,NG_007288.1,ok,+,2,12414,2,2,1.0,
RAD50,NG_021151.2,ok,+,1,62245,1,1,1.0,
RAG1,NG_007528.1,below_threshold,+,4001,13234,70,83,0.8434,R0008;R0011;R0014;R0019;R0021;R0030;R0031;R0034;R0036;R0041
RAG2,NG_033154.1,below_threshold,+,16798,23307,39,54,0.7222,S0007;S0016;S0017;S0018;S0019;S0022;S0028;S0036;S0041;S0043;S0045
RASA1,NG_011650.1,ok,+,125,82549,3,3,1.0,
RASGRP2,NG_007574.1,ok,+,2,16937,4,4,1.0,
RFX5,NG_007576.1,seed_not_found,,,,0,15,0.0,
RFXANK,NG_007432.1,ok,+,1464,9333,17,17,1.0,
RFXAP,NG_007876.1,seed_not_found,,,,0,10,0.0,
SBDS,NG_007277.1,ok,+,4001,12130,76,76,1.0,
SERPING1,NG_009625.1,below_threshold,+,3949,22023,98,237,0.4135,S0001;S0002;S0003;S0004;S0008;S0009;S0010;S0013;S0014;S0018;S0019;S0021;S0022;S0023;S0024;S0025;S0027;S0028;S0029;S0030;S0031;S0032;S0042;S0043;S0044;S0045;S0046;S0047;S0062;S0063;S0064;S0066;S0067;S0068;S0069;S0070;S0071;S0074;S0075;S0076;S0079;S0081;S0082;S0088;S0089;S0090;S0094;S0100;S0101;S0102;S0103;S0104;S0105;S0106;S0107;S0110;S0111;S0112;S0116;S0118;S0121;S0122;S0124;S0125;S0126;S0127;S0128;S0129;S0130;S0131;S0132;S0133;S0134;S0135;S0136;S0137;S0138;S0139;S0140;S0141;S0142;S0143;S0144;S0145;S0147;S0148;S0152;S0153;S0154;S0155;S0156;S0157;S0158;S0160;S0161;S0171;S0172;S0173;S0174;S0179;S0180;S0181;S0182;S0183;S0195;S0197;S0198;S0199;S0222;S0225;S0228;S0229;S0230;S0232;S0233;S0234;S0236;S0238;S0240;S0241;S0243;S0244;S0261;S0262;S0263;S0264;S0265;S0266;S0267;S0277;S0284;S0285;S0286;S0287;S0288;S0289;S0290
SH2,,no_fasta,,,,,,,
SH2D1A,,too_large,,,,,,,
SLC35C1,NG_009875.1,ok,+,5145,11588,18,18,1.0,
SMARCAL1,NG_009771.1,ok,+,6292,70803,56,56,1.0,
SP110,NG_007949.1,ok,+,14,8580,12,12,1.0,
SPINK5,NG_009633.1,ok,+,4074,61350,120,122,0.9836,S0071
STAT1,NG_008294.1,ok,+,4563,43421,13,13,1.0,
STAT2,NG_046314.1,ok,+,4,5456,10,10,1.0,
STAT3,NG_007370.1,ok,+,6489,71211,94,94,1.0,
STAT5B,NG_007271.1,ok,+,122,67396,8,8,1.0,
STIM1,NG_016277.1,ok,+,3,200846,4,4,1.0,
STX11,NG_007613.1,ok,+,883,38780,18,18,1.0,
STXBP2,NG_016709.1,ok,+,4020,15332,52,52,1.0,
TAP1,NG_011759.1,seed_not_found,,,,0,12,0.0,
TAP2,NG_009793.4,seed_not_found,,,,0,8,0.0,
TAZ,,no_fasta,,,,,,,
TCIRG1,NG_007878.1,ok,+,634,9439,5,5,1.0,
TCN2,NG_007263.1,seed_not_found,,,,0,20,0.0,
TLR3,NG_007278.1,ok,+,39,15230,3,3,1.0,
TMC6,NG_007879.1,ok,+,129,14154,17,17,1.0,
TMC8,NG_007881.1,ok,+,4011,9189,20,22,0.9091,E0011
TNFRSF13B,NG_007281.1,ok,+,4001,36737,79,79,1.0,
TYK2,NG_007872.1,ok,+,653,11682,2,2,1.0,
UNC13D,NG_007266.1,ok,+,4001,21673,107,109,0.9817,U0051
UNC93B1,NG_007581.1,ok,+,467,8935,4,4,1.0,
UNG,NG_007284.1,ok,+,15,2646,2,2,1.0,
WAS,NG_007877.1,seed_not_found,,,,0,257,0.0,
ZAP70,NG_007727.1,ok,+,4001,29494,28,30,0.9333,Z0012
